record_id,date,commodity,market,price,quantity
0,2021-03-08,Tea,West End Market,18.26,95
1,2022-04-08,Maize,Central Market,73.02,54
2,2022-05-17,Beans,West End Market,25.45,14
3,2022-06-25,Rice,North Market,97.45,71
4,2022-06-06,Coffee,Central Market,,38
5,2021-09-15,Rice,West End Market,38.75,90
6,2022-05-13,Coffee,East Side Market,30.65,89
7,2021-11-02,Maize,Central Market,43.11,73
8,2021-02-12,Tea,West End Market,75.77,96
9,2020-03-06,Beans,Central Market,86.8,21
10,2021-07-03,Coffee,West End Market,86.77,
11,2020-07-01,Tea,West End Market,48.1,93
12,2022-03-08,Maize,West End Market,53.23,48
13,2021-08-03,Maize,North Market,-46.525832196966235,40
14,2020-09-28,Maize,Central Market,55.61,85
15,2021-10-27,Coffee,East Side Market,76.75,92
16,,Coffee,East Side Market,37.12,30
17,2022-01-10,Maize,Central Market,11.73,86
18,2021-02-24,Coffee,East Side Market,81.71,13
19,2021-04-04,Tea ,Central Market,74.18,14
20,2021-07-07,Beans,East Side Market,12.16,71
21,2020-01-03,Maize,East Side Market,51.14,52
22,2020-07-13,Rice,North Market,71.18,72
23,2020-02-28,Maize,Central Market,10.43,65
24,2021-08-15,Maize,Central Market,69.15,16
25,2021-10-22,Coffee ,West End Market,24.4,31
26,2020-09-28,Rice,Central Market,-31.436803519161547,13
27,2022-04-06,Rice,East Side Market,19.99,91
28,2021-07-20,Maize,West End Market,14.84,34
29,2020-02-22,Rice,West End Market,65.25,63
30,2021-12-23,Wheat,Central Market,-38.78484192796173,34
31,2021-01-08,Maize,East Side Market,84.29,19
32,2021-09-27,Maize,East Side Market,68.36,72
33,2021-11-16,Beans,East Side Market,7.35,43
34,2020-11-08,Beans,Central Market,8.68,26
35,2021-02-13,Beans,East Side Market,31.47,99
36,2020-12-19,Coffee,Central Market,97.19,34
37,2022-04-05,Rice,Central Market,59.78,91
38,2020-05-07,Tea,East Side Market,11.65,43
39,2021-11-24,Rice,North Market,71.23,25
40,2021-11-01,Beans,West End Market,84.2,27
41,2021-06-11,Wheat,East Side Market,80.4,95
42,2021-09-17,Coffee,East Side Market,26.34,4
43,,Maize,East Side Market,41.48,19
44,2020-05-04,Maize,East Side Market,96.01,7
45,2022-07-17,Wheat,West End Market,89.69,93
46,2021-10-03,Beans,North Market,76.42,36
47,2020-06-05,wheat,East Side Market,35.37,18
48,2022-08-26,Maize,West End Market,44.5,54
49,2022-03-30,Coffee,Central Market,33.37,54
50,2022-05-10,Beans,West End Market,7.76,87
51,2021-04-17,Beans,Central Market,61.23,11
52,2020-09-15,Rice,East Side Market,37.06,36
53,2020-02-01,Wheat ,Central Market,38.25,100
54,2021-01-12,Beans,East Side Market,49.99,28
55,2020-14-50,Coffee,Central Market,20.56,75
56,2021-12-14,Tea,North Market,72.93,89
57,2021-06-02,Tea,Central Market,58.76,69
58,2022-01-21,Maize,North Market,96.27,59
59,2020-03-29,Tea,North Market,83.44,42
60,2020-08-05,Wheat,North Market,68.48,64
61,2022-02-15,Rice,West End Market,54.08,31
62,2021-08-18,Wheat,North Market,6.64,52
63,2020-05-03,Coffee,North Market,57.29,59
64,2020-10-16,Rice,East Side Market,75.17,76
65,2020-10-26,Beans,West End Market,6.34,36
66,2020-02-22,Beans,North Market,6.17,62
67,2022-08-29,Wheat,Central Market,12.04,7
68,2020-10-31,Beans,North Market,80.12,67
69,2020-03-24,Wheat,Central Market,75.31,27
70,2020-10-16,Beans,East Side Market,-23.07468152626742,38
71,2021-10-25,WHEAT,West End Market,64.38,26
72,2020-10-22,Rice,Central Market,,77
73,2022-01-22,Wheat,North Market,52.54,11
74,2021-06-15,RICE,Central Market,68.87,6
75,2020-04-17,Rice,North Market,51.71,45
76,2020-09-15,Rice,North Market,94.79,71
77,2021-05-25,Wheat,Central Market,56.55,25
78,2020-14-50,Maize,East Side Market,46.62,16
79,2022-05-02,Beans,West End Market,57.46,15
80,2022-08-01,Tea,West End Market,50.84,59
81,,Tea,Central Market,80.05,65
82,2021-04-11,Coffee,North Market,47.42,43
83,2022-07-24,Beans,East Side Market,27.19,6
84,2022-05-15,Wheat,East Side Market,8.52,76
85,2020-09-28,Coffee,Central Market,43.95,20
86,2022-06-27,Tea,Central Market,85.97,49
87,2022-02-17,COFFEE,East Side Market,92.49,96
88,2020-09-07,Maize,West End Market,9.37,38
89,2021-08-20,Coffee,East Side Market,12.5,80
90,2021-03-28,Wheat,North Market,5.89,37
91,2021-01-25,Coffee,North Market,48.4,50
92,2022-02-01,Coffee,West End Market,-41.671840513149355,2
